Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2022,March,4 Western, Glenelg,1203,6160.286874
2022,March,4 Western, Golden Plains,420,1664.088514
2022,March,4 Western, Greater Bendigo,7501,6091.569462
2022,March,4 Western, Greater Geelong,14569,5291.348003
2022,March,4 Western, Hepburn,436,2662.843818
2022,March,4 Western, Hindmarsh,304,5482.881243
2022,March,4 Western, Horsham,1608,8030.751095
2022,March,4 Western, Loddon,387,5139.65425
2022,March,4 Western, Macedon Ranges,1391,2654.612254
2022,March,4 Western, Mildura,4895,8897.562805
2022,March,4 Western, Moorabool,1573,4207.418457
2022,March,4 Western, Mount Alexander,716,3514.073448
2022,March,4 Western, Moyne,546,3143.793685
2022,March,4 Western, Northern Grampians,806,7083.105349
2022,March,4 Western, Pyrenees,302,3944.853714
2022,March,4 Western, Queenscliffe,118,3841.296016
2022,March,4 Western, Southern Grampians,799,5010.409134
2022,March,4 Western, Surf Coast,1049,2803.262665
2022,March,4 Western, Swan Hill,1696,8467.603143
2022,March,4 Western, Warrnambool,2207,6157.01035
2022,March,4 Western, West Wimmera,151,4063.539396
2022,March,4 Western, Yarriambiack,304,4788.492747
2022,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,900,
2022,March,Unincorporated Vic, Unincorporated Vic,73,
2021,March,1 North West Metro, Banyule,6286,4858.293337
2021,March,1 North West Metro, Brimbank,14514,7196.548988
2021,March,1 North West Metro, Darebin,11475,7061.495006
2021,March,1 North West Metro, Hobsons Bay,4461,4631.581133
2021,March,1 North West Metro, Hume,15479,6350.671623
2021,March,1 North West Metro, Maribyrnong,7048,7540.629313
2021,March,1 North West Metro, Melbourne,25957,15281.40822
2021,March,1 North West Metro, Melton,9883,5517.930622
2021,March,1 North West Metro, Moonee Valley,6108,4721.013457
2021,March,1 North West Metro, Moreland,10148,5494.106883
2021,March,1 North West Metro, Nillumbik,1522,2353.887317
2021,March,1 North West Metro, Whittlesea,11453,4813.560177
2021,March,1 North West Metro, Wyndham,12706,4387.870332
2021,March,1 North West Metro, Yarra,10827,10868.08135
2021,March,2 Eastern, Alpine,400,3060.67794
2021,March,2 Eastern, Bass Coast,2096,5398.583387
2021,March,2 Eastern, Baw Baw,3585,6335.825248
2021,March,2 Eastern, Benalla,995,7041.256811
2021,March,2 Eastern, Boroondara,5954,3370.850129
2021,March,2 Eastern, East Gippsland,3629,7501.653713
2021,March,2 Eastern, Greater Shepparton,5937,8889.587638
2021,March,2 Eastern, Indigo,427,2514.871312
2021,March,2 Eastern, Knox,8283,5088.806837
2021,March,2 Eastern, Latrobe,9087,11932.08677
2021,March,2 Eastern, Manningham,3371,2655.920078
2021,March,2 Eastern, Mansfield,388,3983.572895
2021,March,2 Eastern, Maroondah,5708,4858.533928
2021,March,2 Eastern, Mitchell,3163,6426.771782
2021,March,2 Eastern, Moira,1630,5433.152228
2021,March,2 Eastern, Monash,9572,4834.831801
2021,March,2 Eastern, Murrindindi,663,4453.550077
2021,March,2 Eastern, South Gippsland,1264,4150.385815
2021,March,2 Eastern, Strathbogie,453,4056.595326
2021,March,2 Eastern, Towong,153,2519.347933
2021,March,2 Eastern, Wangaratta,1658,5643.486844
2021,March,2 Eastern, Wellington,3218,7136.520891
2021,March,2 Eastern, Whitehorse,6947,3947.832017
2021,March,2 Eastern, Wodonga,2417,5596.72116
2021,March,2 Eastern, Yarra Ranges,6111,3847.485692
2021,March,3 Southern Metro, Bayside,3827,3624.739534
2021,March,3 Southern Metro, Cardinia,5563,4687.592163
2021,March,3 Southern Metro, Casey,16137,4374.818699
2021,March,3 Southern Metro, Frankston,10207,7180.594736
2021,March,3 Southern Metro, Glen Eira,6020,3880.791372
2021,March,3 Southern Metro, Greater Dandenong,14221,8710.325481
2021,March,3 Southern Metro, Kingston,8041,4882.803012
2021,March,3 Southern Metro, Mornington Peninsula,7617,4510.703817
2021,March,3 Southern Metro, Port Phillip,10175,9077.365022
2021,March,3 Southern Metro, Stonnington,8943,7821.40983
2021,March,4 Western, Ararat,1087,9117.597719
2021,March,4 Western, Ballarat,7188,6350.77706
2021,March,4 Western, Buloke,244,4019.107231
2021,March,4 Western, Campaspe,2456,6503.892802
2021,March,4 Western, Central Goldfields,820,6233.845218
2021,March,4 Western, Colac-Otway,1226,5693.851012
2021,March,4 Western, Corangamite,682,4312.907102
2021,March,4 Western, Gannawarra,639,6121.862426
2021,March,4 Western, Glenelg,1048,5358.147145
2021,March,4 Western, Golden Plains,450,1817.080557
2021,March,4 Western, Greater Bendigo,8000,6590.763046
2021,March,4 Western, Greater Geelong,15511,5755.302254
2021,March,4 Western, Hepburn,507,3114.059333
2021,March,4 Western, Hindmarsh,287,5158.159597
2021,March,4 Western, Horsham,1472,7374.380041
2021,March,4 Western, Loddon,412,5495.531546
2021,March,4 Western, Macedon Ranges,1853,3581.160737
2021,March,4 Western, Mildura,4405,7975.015841
2021,March,4 Western, Moorabool,1990,5411.579148
2021,March,4 Western, Mount Alexander,728,3604.674193
2021,March,4 Western, Moyne,509,2955.69363
2021,March,4 Western, Northern Grampians,894,7855.197259
2021,March,4 Western, Pyrenees,344,4513.251115
2021,March,4 Western, Queenscliffe,81,2652.259332
2021,March,4 Western, Southern Grampians,791,4929.270269
2021,March,4 Western, Surf Coast,1164,3208.55615
2021,March,4 Western, Swan Hill,1857,9211.766457
2021,March,4 Western, Warrnambool,2200,6178.560395
2021,March,4 Western, West Wimmera,122,3253.333333
2021,March,4 Western, Yarriambiack,333,5161.990389
2021,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1270,
2021,March,Unincorporated Vic, Unincorporated Vic,30,
2020,March,1 North West Metro, Banyule,7262,5505.894841
2020,March,1 North West Metro, Brimbank,15480,7437.051699
2020,March,1 North West Metro, Darebin,11895,7150.328212
2020,March,1 North West Metro, Hobsons Bay,4906,4998.675443
2020,March,1 North West Metro, Hume,15894,6593.981032
2020,March,1 North West Metro, Maribyrnong,7305,7695.305916
2020,March,1 North West Metro, Melbourne,26901,14649.72662
2020,March,1 North West Metro, Melton,9320,5406.095198
2020,March,1 North West Metro, Moonee Valley,6719,5101.668919
2020,March,1 North West Metro, Moreland,11100,5883.600127
2020,March,1 North West Metro, Nillumbik,1691,2593.558282
2020,March,1 North West Metro, Whittlesea,12248,5180.808
2020,March,1 North West Metro, Wyndham,13871,4899.993641
2020,March,1 North West Metro, Yarra,11428,11086.96496
2020,March,2 Eastern, Alpine,438,3376.763549
2020,March,2 Eastern, Bass Coast,1786,4770.426561
2020,March,2 Eastern, Baw Baw,3587,6537.74651
2020,March,2 Eastern, Benalla,935,6614.785992
2020,March,2 Eastern, Boroondara,6521,3563.894324
2020,March,2 Eastern, East Gippsland,3638,7623.478133
2020,March,2 Eastern, Greater Shepparton,6382,9519.405746
2020,March,2 Eastern, Indigo,430,2547.091577
2020,March,2 Eastern, Knox,8873,5374.579023
2020,March,2 Eastern, Latrobe,10075,13274.9193
2020,March,2 Eastern, Manningham,3741,2902.429941
2020,March,2 Eastern, Mansfield,337,3557.85473
2020,March,2 Eastern, Maroondah,5920,4959.993297
2020,March,2 Eastern, Mitchell,3120,6550.905999
2020,March,2 Eastern, Moira,1835,6114.220978
2020,March,2 Eastern, Monash,9577,4675.242256
2020,March,2 Eastern, Murrindindi,598,4079.405144
2020,March,2 Eastern, South Gippsland,1359,4493.601825
2020,March,2 Eastern, Strathbogie,475,4322.11101
2020,March,2 Eastern, Towong,155,2540.56712
2020,March,2 Eastern, Wangaratta,1748,5988.147032
2020,March,2 Eastern, Wellington,3385,7562.386899
2020,March,2 Eastern, Whitehorse,7354,4070.539787
2020,March,2 Eastern, Wodonga,2828,6631.492555
2020,March,2 Eastern, Yarra Ranges,6187,3869.26911
2020,March,3 Southern Metro, Bayside,4195,3901.744857
2020,March,3 Southern Metro, Cardinia,5449,4692.114939
2020,March,3 Southern Metro, Casey,17145,4705.071983
2020,March,3 Southern Metro, Frankston,11096,7744.222891
2020,March,3 Southern Metro, Glen Eira,6105,3860.283657
2020,March,3 Southern Metro, Greater Dandenong,14725,8750.973156
2020,March,3 Southern Metro, Kingston,9034,5402.205372
2020,March,3 Southern Metro, Mornington Peninsula,8620,5105.667172
2020,March,3 Southern Metro, Port Phillip,9957,8552.87458
2020,March,3 Southern Metro, Stonnington,9462,7980.298059
2020,March,4 Western, Ararat,894,7473.666611
2020,March,4 Western, Ballarat,8711,7824.837188
2020,March,4 Western, Buloke,254,4163.251926
2020,March,4 Western, Campaspe,2798,7428.055644
2020,March,4 Western, Central Goldfields,866,6614.726551
2020,March,4 Western, Colac-Otway,1280,5910.329224
2020,March,4 Western, Corangamite,548,3440.698185
2020,March,4 Western, Gannawarra,608,5846.153846
2020,March,4 Western, Glenelg,1165,5938.423896
2020,March,4 Western, Golden Plains,472,1947.114393
2020,March,4 Western, Greater Bendigo,8323,6939.4187
2020,March,4 Western, Greater Geelong,17000,6420.35176
2020,March,4 Western, Hepburn,738,4567.962367
2020,March,4 Western, Hindmarsh,246,4399.141631
2020,March,4 Western, Horsham,1356,6775.934439
2020,March,4 Western, Loddon,366,4897.631473
2020,March,4 Western, Macedon Ranges,1724,3383.244697
2020,March,4 Western, Mildura,5545,9916.660705
2020,March,4 Western, Moorabool,1641,4558.080107
2020,March,4 Western, Mount Alexander,894,4470.223511
2020,March,4 Western, Moyne,506,2972.44904
2020,March,4 Western, Northern Grampians,735,6446.802912
2020,March,4 Western, Pyrenees,350,4632.69358
2020,March,4 Western, Queenscliffe,101,3357.712766
2020,March,4 Western, Southern Grampians,887,5498.729155
2020,March,4 Western, Surf Coast,1043,3000.489054
2020,March,4 Western, Swan Hill,1770,8624.049893
2020,March,4 Western, Warrnambool,2467,6944.991836
2020,March,4 Western, West Wimmera,143,3754.266212
2020,March,4 Western, Yarriambiack,318,4827.690906
2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1377,
2020,March,Unincorporated Vic, Unincorporated Vic,109,
2019,March,1 North West Metro, Banyule,7006,5322.09055
2019,March,1 North West Metro, Brimbank,14661,6995.819973
2019,March,1 North West Metro, Darebin,11245,6847.354832
2019,March,1 North West Metro, Hobsons Bay,4848,4958.829847
2019,March,1 North West Metro, Hume,15591,6675.801237
2019,March,1 North West Metro, Maribyrnong,6669,7133.99371
2019,March,1 North West Metro, Melbourne,26587,14853.57051
2019,March,1 North West Metro, Melton,8330,5050.443809
2019,March,1 North West Metro, Moonee Valley,6485,4976.479707
2019,March,1 North West Metro, Moreland,11407,6139.033749
2019,March,1 North West Metro, Nillumbik,1623,2493.125854
2019,March,1 North West Metro, Whittlesea,11912,5172.451226
2019,March,1 North West Metro, Wyndham,11463,4236.032327
2019,March,1 North West Metro, Yarra,11182,11015.01241
2019,March,2 Eastern, Alpine,399,3114.267874
2019,March,2 Eastern, Bass Coast,1782,4907.063197
2019,March,2 Eastern, Baw Baw,3179,5953.852493
2019,March,2 Eastern, Benalla,877,6249.109306
2019,March,2 Eastern, Boroondara,5570,3040.442802
2019,March,2 Eastern, East Gippsland,3193,6749.386996
2019,March,2 Eastern, Greater Shepparton,6228,9365.272703
2019,March,2 Eastern, Indigo,371,2221.689922
2019,March,2 Eastern, Knox,8090,4916.34914
2019,March,2 Eastern, Latrobe,9942,13158.97449
2019,March,2 Eastern, Manningham,3410,2672.727985
2019,March,2 Eastern, Mansfield,321,3498.637602
2019,March,2 Eastern, Maroondah,6034,5089.019896
2019,March,2 Eastern, Mitchell,3034,6583.201337
2019,March,2 Eastern, Moira,1682,5621.657754
2019,March,2 Eastern, Monash,8030,3957.692611
2019,March,2 Eastern, Murrindindi,593,4070.565623
2019,March,2 Eastern, South Gippsland,995,3326.646606
2019,March,2 Eastern, Strathbogie,448,4156.615328
2019,March,2 Eastern, Towong,173,2864.712701
2019,March,2 Eastern, Wangaratta,1639,5616.091009
2019,March,2 Eastern, Wellington,2921,6582.090225
2019,March,2 Eastern, Whitehorse,6361,3558.024153
2019,March,2 Eastern, Wodonga,2420,5750.540598
2019,March,2 Eastern, Yarra Ranges,5767,3616.263466
2019,March,3 Southern Metro, Bayside,3606,3374.635023
2019,March,3 Southern Metro, Cardinia,4697,4187.058184
2019,March,3 Southern Metro, Casey,16217,4581.565253
2019,March,3 Southern Metro, Frankston,11156,7820.813909
2019,March,3 Southern Metro, Glen Eira,4892,3125.179672
2019,March,3 Southern Metro, Greater Dandenong,14195,8436.29837
2019,March,3 Southern Metro, Kingston,8608,5191.672095
2019,March,3 Southern Metro, Mornington Peninsula,8161,4868.779792
2019,March,3 Southern Metro, Port Phillip,9650,8346.306867
2019,March,3 Southern Metro, Stonnington,8170,6936.897161
2019,March,4 Western, Ararat,912,7700.101317
2019,March,4 Western, Ballarat,8129,7423.473115
2019,March,4 Western, Buloke,214,3495.018782
2019,March,4 Western, Campaspe,2919,7760.202047
2019,March,4 Western, Central Goldfields,917,6956.455773
2019,March,4 Western, Colac-Otway,1320,6121.881087
2019,March,4 Western, Corangamite,487,3040.519448
2019,March,4 Western, Gannawarra,581,5549.718216
2019,March,4 Western, Glenelg,956,4859.946114
2019,March,4 Western, Golden Plains,510,2149.903044
2019,March,4 Western, Greater Bendigo,8092,6852.342685
2019,March,4 Western, Greater Geelong,15777,6092.964339
2019,March,4 Western, Hepburn,619,3875.289551
2019,March,4 Western, Hindmarsh,249,4457.572503
2019,March,4 Western, Horsham,1436,7208.835341
2019,March,4 Western, Loddon,386,5145.294588
2019,March,4 Western, Macedon Ranges,1782,3547.680669
2019,March,4 Western, Mildura,5493,9847.79218
2019,March,4 Western, Moorabool,1633,4658.925566
2019,March,4 Western, Mount Alexander,751,3802.339122
2019,March,4 Western, Moyne,458,2701.746107
2019,March,4 Western, Northern Grampians,762,6683.624243
2019,March,4 Western, Pyrenees,419,5609.103079
2019,March,4 Western, Queenscliffe,118,4014.971079
2019,March,4 Western, Southern Grampians,1108,6882.842589
2019,March,4 Western, Surf Coast,899,2687.031115
2019,March,4 Western, Swan Hill,1868,9046.004843
2019,March,4 Western, Warrnambool,3007,8547.227196
2019,March,4 Western, West Wimmera,125,3256.056265
2019,March,4 Western, Yarriambiack,320,4821.455477
2019,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1483,
2019,March,Unincorporated Vic, Unincorporated Vic,95,
2018,March,1 North West Metro, Banyule,7369,5657.581574
2018,March,1 North West Metro, Brimbank,13549,6490.725482
2018,March,1 North West Metro, Darebin,11425,7067.607777
2018,March,1 North West Metro, Hobsons Bay,4830,5006.167017
2018,March,1 North West Metro, Hume,15266,6802.333094
2018,March,1 North West Metro, Maribyrnong,6582,7200.288799
2018,March,1 North West Metro, Melbourne,26849,15764.13394
2018,March,1 North West Metro, Melton,7803,4979.006879
2018,March,1 North West Metro, Moonee Valley,6692,5231.967226
2018,March,1 North West Metro, Moreland,11020,6062.273077
2018,March,1 North West Metro, Nillumbik,1795,2764.047366
2018,March,1 North West Metro, Whittlesea,11340,5077.30124
2018,March,1 North West Metro, Wyndham,10861,4253.094566
2018,March,1 North West Metro, Yarra,10648,10802.80418
2018,March,1 North West Metro,Total,146029,6662.189591
2018,March,2 Eastern, Alpine,319,2505.891595
2018,March,2 Eastern, Bass Coast,1799,5092.566382
2018,March,2 Eastern, Baw Baw,2929,5631.392756
2018,March,2 Eastern, Benalla,980,6988.518862
2018,March,2 Eastern, Boroondara,5632,3105.151729
2018,March,2 Eastern, East Gippsland,3055,6525.546822
2018,March,2 Eastern, Greater Shepparton,5979,9057.992971
2018,March,2 Eastern, Indigo,339,2055.916065
2018,March,2 Eastern, Knox,8516,5217.753597
2018,March,2 Eastern, Latrobe,9376,12466.59309
2018,March,2 Eastern, Manningham,3660,2915.521568
2018,March,2 Eastern, Mansfield,453,5045.105246
2018,March,2 Eastern, Maroondah,5880,5004.042381
2018,March,2 Eastern, Mitchell,3041,6864.869746
2018,March,2 Eastern, Moira,1504,5047.488002
2018,March,2 Eastern, Monash,8299,4145.106187
2018,March,2 Eastern, Murrindindi,532,3674.540682
2018,March,2 Eastern, South Gippsland,1006,3401.521555
2018,March,2 Eastern, Strathbogie,438,4114.994363
2018,March,2 Eastern, Towong,171,2824.578791
2018,March,2 Eastern, Wangaratta,1799,6185.106237
2018,March,2 Eastern, Wellington,2657,6036.304155
2018,March,2 Eastern, Whitehorse,6497,3685.760156
2018,March,2 Eastern, Wodonga,2369,5718.216708
2018,March,2 Eastern, Yarra Ranges,5516,3487.36494
2018,March,2 Eastern,Total,82746,4869.548637
2018,March,3 Southern Metro, Bayside,3897,3685.280628
2018,March,3 Southern Metro, Cardinia,4294,4008.700766
2018,March,3 Southern Metro, Casey,14726,4325.540546
2018,March,3 Southern Metro, Frankston,10719,7556.733664
2018,March,3 Southern Metro, Glen Eira,5232,3399.168399
2018,March,3 Southern Metro, Greater Dandenong,13628,8202.720597
2018,March,3 Southern Metro, Kingston,7907,4837.505812
2018,March,3 Southern Metro, Mornington Peninsula,8519,5137.405547
2018,March,3 Southern Metro, Port Phillip,9780,8634.617931
2018,March,3 Southern Metro, Stonnington,8001,6880.74578
2018,March,3 Southern Metro,Total,86703,5508.334323
2018,March,4 Western, Ararat,885,7503.179313
2018,March,4 Western, Ballarat,8900,8292.646566
2018,March,4 Western, Buloke,168,2717.127608
2018,March,4 Western, Campaspe,2511,6679.968077
2018,March,4 Western, Central Goldfields,907,6867.050273
2018,March,4 Western, Colac-Otway,1242,5776.206864
2018,March,4 Western, Corangamite,620,3841.625875
2018,March,4 Western, Gannawarra,417,3954.105822
2018,March,4 Western, Glenelg,1196,6082.180635
2018,March,4 Western, Golden Plains,481,2080.629812
2018,March,4 Western, Greater Bendigo,7089,6109.047664
2018,March,4 Western, Greater Geelong,16864,6685.987733
2018,March,4 Western, Hepburn,639,4041.234505
2018,March,4 Western, Hindmarsh,253,4482.636428
2018,March,4 Western, Horsham,1637,8236.892422
2018,March,4 Western, Loddon,317,4219.353121
2018,March,4 Western, Macedon Ranges,1522,3081.782655
2018,March,4 Western, Mildura,4822,8685.784278
2018,March,4 Western, Moorabool,1823,5337.276028
2018,March,4 Western, Mount Alexander,733,3756.277544
2018,March,4 Western, Moyne,464,2747.675727
2018,March,4 Western, Northern Grampians,802,7016.622922
2018,March,4 Western, Pyrenees,307,4175.166599
2018,March,4 Western, Queenscliffe,108,3621.730382
2018,March,4 Western, Southern Grampians,1004,6222.883352
2018,March,4 Western, Surf Coast,952,2951.75493
2018,March,4 Western, Swan Hill,1752,8439.306358
2018,March,4 Western, Warrnambool,2707,7764.678886
2018,March,4 Western, West Wimmera,114,2951.838426
2018,March,4 Western, Yarriambiack,358,5376.990087
2018,March,4 Western,Total,61594,6184.533946
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1476,
2018,March,Justice Institutions and Immigration Facilities,Total,1476,
2018,March,Unincorporated Vic, Unincorporated Vic,117,
2018,March,Unincorporated Vic,Total,117,
2017,March,1 North West Metro, Banyule,7447,5767.726445
2017,March,1 North West Metro, Brimbank,14670,7087.059233
2017,March,1 North West Metro, Darebin,13200,8314.908253
2017,March,1 North West Metro, Hobsons Bay,5227,5497.996234
2017,March,1 North West Metro, Hume,17033,7913.565448
2017,March,1 North West Metro, Maribyrnong,7193,8049.282693
2017,March,1 North West Metro, Melbourne,28114,17666.09485
2017,March,1 North West Metro, Melton,8968,6034.262337
2017,March,1 North West Metro, Moonee Valley,7759,6186.857612
2017,March,1 North West Metro, Moreland,11798,6666.515985
2017,March,1 North West Metro, Nillumbik,2171,3359.744963
2017,March,1 North West Metro, Whittlesea,12870,5967.007594
2017,March,1 North West Metro, Wyndham,11966,4963.682898
2017,March,1 North West Metro, Yarra,11310,11781.98637
2017,March,1 North West Metro,Total,159726,7526.977489
2017,March,2 Eastern, Alpine,280,2215.540434
2017,March,2 Eastern, Bass Coast,1986,5775.606351
2017,March,2 Eastern, Baw Baw,2894,5710.790118
2017,March,2 Eastern, Benalla,1000,7156.14713
2017,March,2 Eastern, Boroondara,7007,3899.775709
2017,March,2 Eastern, East Gippsland,2951,6396.306572
2017,March,2 Eastern, Greater Shepparton,6307,9621.075754
2017,March,2 Eastern, Indigo,350,2142.900876
2017,March,2 Eastern, Knox,9323,5761.090547
2017,March,2 Eastern, Latrobe,10348,13814.27885
2017,March,2 Eastern, Manningham,4064,3270.298543
2017,March,2 Eastern, Mansfield,470,5343.337881
2017,March,2 Eastern, Maroondah,7070,6078.00827
2017,March,2 Eastern, Mitchell,3140,7318.835513
2017,March,2 Eastern, Moira,1376,4640.496425
2017,March,2 Eastern, Monash,9028,4584.556322
2017,March,2 Eastern, Murrindindi,524,3681.326402
2017,March,2 Eastern, South Gippsland,1145,3905.050987
2017,March,2 Eastern, Strathbogie,462,4406.714994
2017,March,2 Eastern, Towong,174,2881.271734
2017,March,2 Eastern, Wangaratta,1877,6505.389388
2017,March,2 Eastern, Wellington,3224,7360.562544
2017,March,2 Eastern, Whitehorse,6614,3817.318181
2017,March,2 Eastern, Wodonga,2532,6204.05763
2017,March,2 Eastern, Yarra Ranges,6435,4102.148927
2017,March,2 Eastern,Total,90581,5396.065527
2017,March,3 Southern Metro, Bayside,4127,3957.538214
2017,March,3 Southern Metro, Cardinia,5199,5076.999697
2017,March,3 Southern Metro, Casey,18108,5541.49542
2017,March,3 Southern Metro, Frankston,12351,8777.128726
2017,March,3 Southern Metro, Glen Eira,5873,3877.668249
2017,March,3 Southern Metro, Greater Dandenong,15458,9453.39351
2017,March,3 Southern Metro, Kingston,8381,5203.941609
2017,March,3 Southern Metro, Mornington Peninsula,8942,5457.963548
2017,March,3 Southern Metro, Port Phillip,10468,9459.947947
2017,March,3 Southern Metro, Stonnington,9107,8004.605703
2017,March,3 Southern Metro,Total,98014,6370.908089
2017,March,4 Western, Ararat,909,7732.221844
2017,March,4 Western, Ballarat,9216,8742.008309
2017,March,4 Western, Buloke,141,2272.360999
2017,March,4 Western, Campaspe,2741,7290.475304
2017,March,4 Western, Central Goldfields,949,7217.827807
2017,March,4 Western, Colac-Otway,1616,7540.830611
2017,March,4 Western, Corangamite,801,4941.394201
2017,March,4 Western, Gannawarra,528,4995.742265
2017,March,4 Western, Glenelg,1380,7007.921999
2017,March,4 Western, Golden Plains,590,2614.321163
2017,March,4 Western, Greater Bendigo,8032,7039.99439
2017,March,4 Western, Greater Geelong,18084,7359.356687
2017,March,4 Western, Hepburn,723,4626.01574
2017,March,4 Western, Hindmarsh,288,5036.726128
2017,March,4 Western, Horsham,1756,8830.776968
2017,March,4 Western, Loddon,393,5235.113894
2017,March,4 Western, Macedon Ranges,1643,3393.085787
2017,March,4 Western, Mildura,5216,9459.214392
2017,March,4 Western, Moorabool,1981,5923.688775
2017,March,4 Western, Mount Alexander,908,4705.394621
2017,March,4 Western, Moyne,488,2905.972727
2017,March,4 Western, Northern Grampians,933,8101.067986
2017,March,4 Western, Pyrenees,360,4892.633868
2017,March,4 Western, Queenscliffe,135,4562.352146
2017,March,4 Western, Southern Grampians,1025,6357.377659
2017,March,4 Western, Surf Coast,1068,3407.024596
2017,March,4 Western, Swan Hill,1753,8408.883772
2017,March,4 Western, Warrnambool,2589,7489.369088
2017,March,4 Western, West Wimmera,123,3158.705701
2017,March,4 Western, Yarriambiack,330,4937.163375
2017,March,4 Western,Total,66699,6795.279706
2017,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1125,
2017,March,Justice Institutions and Immigration Facilities,Total,1125,
2017,March,Unincorporated Vic, Unincorporated Vic,126,
2017,March,Unincorporated Vic,Total,126,
2016,March,1 North West Metro, Banyule,7224,5668.238562
2016,March,1 North West Metro, Brimbank,14970,7331.407023
2016,March,1 North West Metro, Darebin,11893,7666.670964
2016,March,1 North West Metro, Hobsons Bay,5541,5929.691262
2016,March,1 North West Metro, Hume,15598,7533.773504
2016,March,1 North West Metro, Maribyrnong,7178,8256.078765
2016,March,1 North West Metro, Melbourne,25691,17585.01259
2016,March,1 North West Metro, Melton,8794,6218.356668
2016,March,1 North West Metro, Moonee Valley,7066,5750.746718
2016,March,1 North West Metro, Moreland,11173,6484.845671
2016,March,1 North West Metro, Nillumbik,2092,3259.887182
2016,March,1 North West Metro, Whittlesea,11094,5357.919037
2016,March,1 North West Metro, Wyndham,11950,5264.131661
2016,March,1 North West Metro, Yarra,10383,11177.2558
2016,March,1 North West Metro,Total,150647,7355.788997
2016,March,2 Eastern, Alpine,328,2607.727779
2016,March,2 Eastern, Bass Coast,2023,6045.302415
2016,March,2 Eastern, Baw Baw,2652,5379.746835
